,count,integer_1,integer_2,name_1,name_2
1045,356,27874,2850393,The Flash (Comics),The Flash - All Media Types
1046,1265,2282814,2850393,The Flash (TV 2014),The Flash - All Media Types
1047,15378,7266,1001939,Marvel,The Avengers (Marvel Movies)
1050,1134,747342,3132749,Star Wars: The Clone Wars (2008) - All Media Types,Star Wars: Rebels
1051,196,4877332,6650284,UNIQ (Band),UP10TION
1052,270,4877332,33642127,UNIQ (Band),X1 (Korea Band)
1053,485,6650284,33642127,UP10TION,X1 (Korea Band)
1056,236,273720,7890514,Fate/EXTRA,Fate/Grand Order
1057,307,277627,7890514,Fate/Apocrypha,Fate/Grand Order
1061,553,29577,3235649,Star Wars Prequel Trilogy,Star Wars Legends - All Media Types
1062,2871,101375,3235649,Star Wars - All Media Types,Star Wars Legends - All Media Types
1063,470,747342,3235649,Star Wars: The Clone Wars (2008) - All Media Types,Star Wars Legends - All Media Types
1064,2550,7266,245368,Marvel,Thor (Movies)
1065,4535,870188,5437936,Fallout (Video Games),Fallout 4
1066,450,218280,45140518,Video Blogging RPF,DreamSMP
1067,605,36979012,45239848,เกลียดนักมาเป็นที่รักกันซะดีๆ | TharnType: The Series (TV) RPF,เกลียดนักมาเป็นที่รักกันซะดีๆ | TharnType: The Series (TV)
1068,1724,236208,582724,Batman - All Media Types,Miraculous Ladybug
1069,453,236208,36631273,Batman - All Media Types,Maribat - Fandom
1070,475,582724,36631273,Miraculous Ladybug,Maribat - Fandom
1076,3912,130638,32833447,Spider-Man - All Media Types,Spider-Man (Tom Holland Movies)
1077,1639,727114,32833447,The Avengers (Marvel) - All Media Types,Spider-Man (Tom Holland Movies)
1078,1712,14088,103325,Crisis Core: Final Fantasy VII,Compilation of Final Fantasy VII
1089,131,27,2348733,Supernatural,Constantine (TV)
1091,214,27,8114503,Supernatural,Lucifer (TV)
1092,204,2348733,5171863,Constantine (TV),DC's Legends of Tomorrow (TV)
1093,161,2348733,8114503,Constantine (TV),Lucifer (TV)
1095,2016,11232,827052,World of Warcraft,Warcraft - All Media Types
1096,341,19361860,46023568,mcyt,Dream SMP - Fandom
1097,217,414093,9830863,Marvel Cinematic Universe,X-Men (Alternate Timeline Movies)
1103,413,4274675,7890514,Fate/stay night - All Media Types,Fate/Grand Order
1104,1974,14943480,14943552,BanG Dream! Girl's Band Party! (Video Game),BanG Dream! (Anime)
1121,110,3828398,9780526,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,My Hero Academia
1122,2965,839,250093,X-Men (Movieverse),X-Men - All Media Types
1123,1747,839,9830863,X-Men (Movieverse),X-Men (Alternate Timeline Movies)
1124,1407,250093,9830863,X-Men - All Media Types,X-Men (Alternate Timeline Movies)
1125,3063,406,99117,Doctor Who,Doctor Who (1963)
1132,19015,858574,1080663,Dragon Age (Video Games),Dragon Age: Inquisition
1133,1275,414093,19518444,Marvel Cinematic Universe,Captain Marvel (2019)
1143,252,136512,236208,Harry Potter - J. K. Rowling,Batman - All Media Types
1144,114,136512,582724,Harry Potter - J. K. Rowling,Miraculous Ladybug
1145,5624,219012,726906,Transformers - All Media Types,The Transformers (IDW Generation One)
1147,234,27,32045,Supernatural,The Vampire Diaries (TV)
1148,123,27,813205,Supernatural,The Originals (TV)
1149,2291,32045,813205,The Vampire Diaries (TV),The Originals (TV)
1153,1428,1064192,1064218,Teenage Mutant Ninja Turtles (TV 2012),Teenage Mutant Ninja Turtles - All Media Types
1154,106,1064192,22297050,Teenage Mutant Ninja Turtles (TV 2012),Rise of the Teenage Mutant Ninja Turtles (Cartoon 2018)
1155,1100,7266,586437,Marvel,The Avengers - Ambiguous Fandom
1156,2245,414093,586437,Marvel Cinematic Universe,The Avengers - Ambiguous Fandom
1157,1008,586437,586439,The Avengers - Ambiguous Fandom,Captain America (Movies)
1158,1207,190901,31075477,Tangled (2010),Rapunzel's Tangled Adventure (Cartoon)
1159,162,41424,119943,Degrassi,Degrassi the Next Generation
1160,1442,448284,9607162,Pocket Monsters | Pokemon - All Media Types,Pocket Monsters: Sun & Moon | Pokemon Sun & Moon Versions
1161,2639,136512,11055523,Harry Potter - J. K. Rowling,Harry Potter and the Cursed Child - Thorne & Rowling
1162,120,218280,10381891,Video Blogging RPF,supermega
1163,1445,103325,41561815,Compilation of Final Fantasy VII,Final Fantasy VII (Video Game 1997)
1164,1368,41561026,41561815,Final Fantasy VII Remake (Video Game 2020),Final Fantasy VII (Video Game 1997)
1173,706,115613,136512,Percy Jackson and the Olympians - Rick Riordan,Harry Potter - J. K. Rowling
1181,501,136512,269708,Harry Potter - J. K. Rowling,Twilight Series - Stephenie Meyer
1182,216,136512,449545,Harry Potter - J. K. Rowling,One Direction (Band)
1193,1572,1635478,4585787,The 100 (TV),The 100 Series - Kass Morgan
1194,769,414093,491459,Marvel Cinematic Universe,Loki - Fandom
1195,3290,299357,299358,Wiedźmin | The Witcher - All Media Types,Wiedźmin | The Witcher Series - Andrzej Sapkowski
1196,2311,299358,299359,Wiedźmin | The Witcher Series - Andrzej Sapkowski,Wiedźmin | The Witcher (Video Game)
1197,2031,299358,29890172,Wiedźmin | The Witcher Series - Andrzej Sapkowski,The Witcher (TV)
1198,1752,299359,29890172,Wiedźmin | The Witcher (Video Game),The Witcher (TV)
1203,114,43857349,44155960,Союз Спасения | Union of Salvation (2019),Decembrists | декабристы - Fandom
1204,167,35821,1002903,Super Junior,방탄소년단 | Bangtan Boys | BTS
1206,1385,451725,451749,Sonic the Hedgehog - All Media Types,Sonic the Hedgehog (Video Games)
1207,225,451725,34098940,Sonic the Hedgehog - All Media Types,Sonic the Hedgehog (2020)
1210,525,7266,5316694,Marvel,Doctor Strange (2016)
1211,3859,245368,727114,Thor (Movies),The Avengers (Marvel) - All Media Types
1212,758,245368,5316694,Thor (Movies),Doctor Strange (2016)
1213,4010,414093,5316694,Marvel Cinematic Universe,Doctor Strange (2016)
1214,703,727114,5316694,The Avengers (Marvel) - All Media Types,Doctor Strange (2016)
1215,2521,1001939,5316694,The Avengers (Marvel Movies),Doctor Strange (2016)
1217,431,6943,1967132,Real Person Fiction,Marvel Cinematic Universe RPF
1218,312,6943,15281748,Real Person Fiction,American (US) Actor RPF
1219,168,1967132,15281748,Marvel Cinematic Universe RPF,American (US) Actor RPF
1221,2047,217066,309473,Elder Scrolls,Elder Scrolls V: Skyrim
1247,103,448284,582724,Pocket Monsters | Pokemon - All Media Types,Miraculous Ladybug
1263,2181,82576,1098294,Batman (Comics),Red Hood and the Outlaws (Comics)
1264,3532,236208,1098294,Batman - All Media Types,Red Hood and the Outlaws (Comics)
1270,105,116125,314015,Yu-Gi-Oh! GX,Yu-Gi-Oh! Zexal
1272,8191,114961,541478,The Hobbit - J. R. R. Tolkien,The Hobbit - All Media Types
1273,511,304320,352740,The Almighty Johnsons,Being Human (UK)
1274,178,12307111,12312739,The Shadowhunter Chronicles - All Media Types,The Last Hours Series - Cassandra Clare
1275,375,12310528,12312739,The Shadowhunter Chronicles - Cassandra Clare,The Last Hours Series - Cassandra Clare
1279,270,2692,51185796,Original Work,GWA (r/gonewildaudio)
1280,1848,29576,29577,Star Wars Original Trilogy,Star Wars Prequel Trilogy
1292,203,1583806,1633246,Dangan Ronpa Zero,Dangan Ronpa - All Media Types
1293,103,1583806,10861009,Dangan Ronpa Zero,Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School
1294,807,14211701,14211920,Call Me By Your Name (2017),Call Me By Your Name - All Media Types
1295,322,7266,193591,Marvel,Thor (Comics)
1296,1167,193591,245368,Thor (Comics),Thor (Movies)
1297,520,193591,414093,Thor (Comics),Marvel Cinematic Universe
1307,107,277627,4274675,Fate/Apocrypha,Fate/stay night - All Media Types
1312,105,4274675,4274723,Fate/stay night - All Media Types,Fate/stay night: Unlimited Blade Works (Anime 2014)
1316,141,6943,210460,Real Person Fiction,Rock Music RPF
1322,108,210460,487773,Rock Music RPF,Led Zeppelin
1325,853,3914609,17879139,Thomas Sanders,Sanders Sides (Web Series)
1326,3228,25760640,33035890,魔道祖师 | Módào Zǔshī (Cartoon),陈情令 | The Untamed (TV)
1328,149,390,15797,DCU,Batman - Fandom
1329,199,390,2818614,DCU,Gotham (TV)
1331,183,6410522,19017606,Day6 (Band),Stray Kids (Band)
1335,2902,226657,5316694,Iron Man (Movies),Doctor Strange (2016)
1338,251,1356851,6410522,GOT7,Day6 (Band)
1339,228,1356851,7150409,GOT7,TWICE (Band)
1340,356,1356851,9139561,GOT7,NCT (Band)
1341,394,1356851,19017606,GOT7,Stray Kids (Band)
1342,115,1356851,24557565,GOT7,ATEEZ (Band)
1348,142,7150409,9139561,TWICE (Band),NCT (Band)
1349,171,7150409,19017606,TWICE (Band),Stray Kids (Band)
1351,448,9139561,19017606,NCT (Band),Stray Kids (Band)
1352,177,9139561,24557565,NCT (Band),ATEEZ (Band)
1354,281,19017606,24557565,Stray Kids (Band),ATEEZ (Band)
1355,155,19017606,29777060,Stray Kids (Band),ITZY (Band)
1357,1552,3352745,16720134,Daredevil (TV),The Punisher (TV 2017)
1360,105,6048501,38403853,Star Wars Sequel Trilogy,Star Wars: The Rise of Kylo Ren (Comics)
1364,2361,2692,5450,Original Work,No Fandom
1365,7144,114961,873394,The Hobbit - J. R. R. Tolkien,The Hobbit (Jackson Movies)
1366,10638,541478,873394,The Hobbit - All Media Types,The Hobbit (Jackson Movies)
